bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
3494,181,20,161,Logistic Regression,0.9608695652173912,0.9950310559006211,0.034161490683229934,0.6891307018145254,0.9656459330143541,0.2765152311998287,0.6512896090258361,0.8069095487838845,0.15561993975804844,0.6557377049180327,0.8163265306122449,0.16058882569421218
3494,181,20,161,RBF-SVM,0.9695652173913043,0.9894409937888199,0.019875776397515588,0.7813220061672075,0.9003997627759238,0.11907775660871633,0.6776891751317226,0.7907330770695271,0.11304390193780456,0.7083333333333334,0.8,0.09166666666666667
3494,181,20,161,Random Forest,0.9667701863354038,0.9950310559006211,0.02826086956521734,0.7420418470418471,0.9641765873015874,0.22213474025974034,0.7857281113522394,0.7605367506362352,-0.025191360716004252,0.8095238095238095,0.7692307692307693,-0.04029304029304026
3494,181,20,161,XGBoost,0.9847826086956522,0.9919254658385094,0.0071428571428572285,0.8234252402187184,0.953186794666933,0.12976155444821458,0.7922788034493561,0.8396593924120632,0.04738058896270714,0.8085106382978723,0.8571428571428571,0.04863221884498481
3495,181,20,161,Logistic Regression,0.9456521739130435,0.962111801242236,0.016459627329192594,0.5940651645947845,0.8313116346193352,0.23724647002455068,0.5670871667160673,0.7428126208262675,0.17572545411020024,0.5901639344262295,0.7659574468085106,0.17579351238228114
3495,181,20,161,RBF-SVM,0.9490683229813665,0.9757763975155279,0.026708074534161463,0.6438032945736435,0.8177317728710918,0.17392847829744829,0.625048174604586,0.7098233296080733,0.08477515500348731,0.6666666666666666,0.7391304347826086,0.07246376811594202
3495,181,20,161,Random Forest,0.9489130434782609,0.9850931677018634,0.036180124223602506,0.57513160729879,0.9175883549453345,0.34245674764654455,0.6778655492325919,0.6817425157716995,0.003876966539107629,0.7142857142857143,0.7058823529411765,-0.008403361344537785
3495,181,20,161,XGBoost,0.9704968944099379,0.9798136645962733,0.009316770186335366,0.7981445372652803,0.869705101311272,0.07156056404599165,0.6776891751317226,0.7751552795031056,0.09746610437138303,0.7083333333333334,0.8,0.09166666666666667
3496,181,20,161,Logistic Regression,0.9614906832298137,0.9804347826086955,0.018944099378881862,0.7065488264271226,0.9068129174746822,0.2002640910475596,0.6296713389725407,0.7285186322821915,0.09884729330965081,0.6440677966101694,0.7450980392156863,0.10103024260551685
3496,181,20,161,RBF-SVM,0.9490683229813665,0.9819875776397515,0.03291925465838508,0.6597851161995899,0.9074034518113465,0.2476183356117566,0.6681494003911623,0.6349663992612077,-0.03318300112995465,0.6923076923076923,0.6666666666666666,-0.02564102564102566
3496,181,20,161,Random Forest,0.9332298136645962,0.9894409937888198,0.05621118012422355,0.49864441368912865,0.9393156743700222,0.4406712606808935,0.641644010367641,0.6877421448587597,0.04609813449111877,0.6818181818181818,0.7037037037037037,0.021885521885521952
3496,181,20,161,XGBoost,0.9599378881987578,0.9916149068322981,0.03167701863354033,0.639358024976446,0.9453429506444935,0.30598492566804747,0.7428126208262675,0.7922788034493561,0.04946618262308855,0.7659574468085106,0.8085106382978723,0.04255319148936165
3497,181,20,161,Logistic Regression,0.9717391304347825,0.986335403726708,0.014596273291925477,0.7601856819791603,0.9451800092017484,0.18499432722258813,0.6632022947329742,0.7922788034493561,0.12907650871638188,0.6785714285714286,0.8085106382978723,0.12993920972644368
3497,181,20,161,RBF-SVM,0.9624223602484473,0.984472049689441,0.022049689440993725,0.7616232725607724,0.8601097665377851,0.0984864939770127,0.6289558653586428,0.7600689387825204,0.13111307342387757,0.6666666666666666,0.782608695652174,0.11594202898550732
