selection_rank,model,pca_components,fusion_dimensions,C,gamma,folds,cv_fit_warnings,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,mean_cv_Accuracy,sd_cv_Accuracy,mean_cv_Precision,sd_cv_Precision,mean_cv_Recall,sd_cv_Recall,mean_cv_Specificity,sd_cv_Specificity
35,Fusion RBF-SVM,52,84,0.1,0.01,5,0,0.9625128189599483,0.01833177507591875,0.800381903963958,0.05545552345175633,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
36,Fusion RBF-SVM,24,56,0.1,0.01,5,0,0.9453773518249354,0.04554253180622017,0.7584236752344227,0.0623096645443901,0.04730499167912661,0.10577717706958902,0.023529411764705882,0.052613364176465637,0.8916666666666666,0.003803628871563701,0.2,0.44721359549995804,0.0125,0.027950849718747377,1.0,0.0
37,Fusion RBF-SVM,24,56,1.0,0.1,5,0,0.8655190417070413,0.05348294418873754,0.6874410407443382,0.08262887792251516,0.09887605399206628,0.135601481722153,0.06563467492260062,0.0956851703880216,0.8930555555555555,0.003803628871563701,0.3333333333333333,0.47140452079103173,0.0375,0.05590169943749474,0.9984375,0.0034938562148434213
38,Fusion RBF-SVM,24,56,10.0,0.1,5,0,0.8653640029473515,0.053528578429248075,0.6873268554127616,0.082471244511121,0.09887605399206628,0.135601481722153,0.06563467492260062,0.0956851703880216,0.8930555555555555,0.003803628871563701,0.3333333333333333,0.47140452079103173,0.0375,0.05590169943749474,0.9984375,0.0034938562148434213
39,Fusion RBF-SVM,24,56,100.0,0.1,5,0,0.8653640029473515,0.053528578429248075,0.6873268554127616,0.082471244511121,0.09887605399206628,0.135601481722153,0.06563467492260062,0.0956851703880216,0.8930555555555555,0.003803628871563701,0.3333333333333333,0.47140452079103173,0.0375,0.05590169943749474,0.9984375,0.0034938562148434213
40,Fusion RBF-SVM,52,84,1.0,0.1,5,0,0.8149668927648579,0.07266653294759304,0.6546066600049028,0.05995370879619792,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,0.8916666666666666,0.003803628871563701,0.3,0.4472135954999579,0.025,0.03423265984407289,0.9984375,0.0034938562148434213
41,Fusion RBF-SVM,52,84,10.0,0.1,5,0,0.8149668927648579,0.07266653294759304,0.6546066600049028,0.05995370879619792,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,0.8916666666666666,0.003803628871563701,0.3,0.4472135954999579,0.025,0.03423265984407289,0.9984375,0.0034938562148434213
42,Fusion RBF-SVM,52,84,100.0,0.1,5,0,0.8149668927648579,0.07266653294759304,0.6546066600049028,0.05995370879619792,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,0.8916666666666666,0.003803628871563701,0.3,0.4472135954999579,0.025,0.03423265984407289,0.9984375,0.0034938562148434213
43,Fusion RBF-SVM,99,131,1.0,0.1,5,0,0.6620871689276486,0.3124358325717994,0.5366834792824963,0.27362443820566823,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
44,Fusion RBF-SVM,99,131,10.0,0.1,5,0,0.6619406845526485,0.3105718147669537,0.5365017712267726,0.2735093783431462,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
45,Fusion RBF-SVM,99,131,100.0,0.1,5,0,0.6619406845526485,0.3105718147669537,0.5365017712267726,0.2735093783431462,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
46,Fusion RBF-SVM,52,84,0.1,0.1,5,0,0.2147691073158915,0.0790196909972335,0.10219563335498545,0.03923789834393847,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
47,Fusion RBF-SVM,99,131,0.1,0.1,5,0,0.2069754067748708,0.07277455410105707,0.10014799590879193,0.04822219766327185,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
48,Fusion RBF-SVM,24,56,0.1,0.1,5,0,0.15230536882267443,0.06043539710710311,0.09615857504866292,0.038612927584737354,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
