principal_component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
234,0.14370642427017755,0.0001121147123960453,0.9862339096976581,10.164886573408365
235,0.14237026111661572,0.00011107228476320589,0.9863449819824214,10.117520335677447
236,0.14217094320616988,0.00011091678391960406,0.986455898766341,10.110435607096074
237,0.14143598905929958,0.00011034339846923804,0.9865662421648103,10.084268745607506
238,0.14017411787641737,0.00010935893082648525,0.9866756010956368,10.039182773171534
239,0.13936746336489636,0.00010872960726616812,0.986784330702903,10.010255049665842
240,0.13698840855327923,0.00010687355213618022,0.9868912042550392,9.92444788135883
241,0.13495113048337878,0.00010528413923388549,0.9869964883942731,9.850373739993287
242,0.13334996393979084,0.0001040349652498816,0.987100523359523,9.791763072741784
243,0.13244328965158925,0.0001033276097675164,0.9872038509692905,9.758418174042998
244,0.13088971062172375,0.00010211556189281297,0.9873059665311833,9.70101551060606
245,0.1300650463376266,0.00010147218773953909,0.9874074387189229,9.67040683305276
246,0.12878842732263393,0.00010047621435538379,0.9875079149332783,9.622831144989181
247,0.12807216664220145,9.991741289194812e-05,0.9876078323461702,9.596035004924838
248,0.12730384679364834,9.931799669127252e-05,0.9877071503428615,9.567207839523146
249,0.12666112822596012,9.881657020505998e-05,0.9878059669130665,9.543026312154092
250,0.12464597190551509,9.724441591587519e-05,0.9879032113289824,9.466808004816901
251,0.12383722390494921,9.661345908882444e-05,0.9879998247880712,9.436045993299231
252,0.1226310460948631,9.567244146234692e-05,0.9880954972295336,9.38997987975515
253,0.12227744263784085,9.539657244613812e-05,0.9881908938019798,9.376432224284862
254,0.12112722412095799,9.449921229771163e-05,0.9882853930142775,9.332227715983402
255,0.12042402997788981,9.395060488848092e-05,0.988379343619166,9.305099545631029
256,0.11818900320084649,9.220691537996899e-05,0.9884715505345459,9.218345475268793
257,0.11754973680843209,9.170818215983645e-05,0.9885632587167058,9.193381356457627
258,0.11703105261869468,9.130352294538508e-05,0.9886545622396512,9.173076192468995
259,0.1157743826178313,9.032311308243663e-05,0.9887448853527336,9.123693391506572
260,0.11522487128008843,8.989440360822704e-05,0.9888347797563418,9.10201529609699
261,0.11348329994425241,8.85356907293417e-05,0.9889233154470711,9.032966990968
262,0.1121967879538126,8.753199919269163e-05,0.9890108474462638,8.981619594415656
263,0.11162328743460652,8.708457420041091e-05,0.9890979320204641,8.958635145237364
264,0.11044122859581193,8.616237334947677e-05,0.9891840943938136,8.91107419789493
265,0.10908130474132467,8.510140845106896e-05,0.9892691958022647,8.85604076938518
266,0.10860523727210508,8.472999730738675e-05,0.989353925799572,8.836694268709513
267,0.10798213828533826,8.424387733014557e-05,0.9894381696769022,8.811308496878214
268,0.10757344856011664,8.392503193937657e-05,0.9895220947088416,8.794618213130338
269,0.107433908858294,8.381616795770612e-05,0.9896059108767993,8.788912359849391
270,0.10599094390362027,8.269041730520456e-05,0.9896886012941045,8.729690067047224
271,0.1042542321091843,8.133549567009422e-05,0.9897699367897747,8.657874617162316
272,0.10305489140196807,8.03998121114969e-05,0.9898503366018861,8.6079304666113
273,0.10273427352259203,8.014967728615538e-05,0.9899304862791724,8.594529810451743
274,0.10228999255638616,7.980306485736402e-05,0.9900102893440297,8.575925877014193
275,0.10180050719464337,7.9421185544504e-05,0.9900897105295742,8.555382204960138
276,0.10083578047302799,7.866853958950242e-05,0.9901683790691637,8.514747568783653
