model_order,model,representation,classifier,subset_order,subset,subset_label,n,active,inactive,active_prevalence,full_test_AUROC,AUROC,delta_AUROC,full_test_AUPRC,AUPRC,delta_AUPRC,full_test_MCC,MCC,delta_MCC,full_test_Accuracy,Accuracy,delta_Accuracy,full_test_Precision,Precision,delta_Precision,full_test_Recall,Recall,delta_Recall,full_test_Specificity,Specificity,delta_Specificity,full_test_F1,F1,delta_F1
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,0,all_test,All test,181,20,161,0.11049723756906077,0.9801242236024845,0.9801242236024845,0.0,0.8476651056175093,0.8476651056175093,0.0,0.7264224849048023,0.7264224849048023,0.0,0.9337016574585635,0.9337016574585635,0.0,0.6428571428571429,0.6428571428571429,0.0,0.9,0.9,0.0,0.937888198757764,0.937888198757764,0.0,0.75,0.75,0.0
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9801242236024845,0.9837217906030337,0.00359756700054914,0.8476651056175093,0.870703303689833,0.023038198072323657,0.7264224849048023,0.7292170243483447,0.0027945394435423543,0.9337016574585635,0.9431818181818182,0.009480160723254749,0.6428571428571429,0.6521739130434783,0.009316770186335366,0.9,0.8823529411764706,-0.01764705882352946,0.937888198757764,0.949685534591195,0.01179733583343101,0.75,0.75,0.0
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9801242236024845,0.988116458704694,0.007992235102209477,0.8476651056175093,0.8569050832208727,0.00923997760336337,0.7264224849048023,0.767087302059032,0.04066481715422965,0.9337016574585635,0.9695121951219512,0.03581053766338771,0.6428571428571429,0.75,0.1071428571428571,0.9,0.8181818181818182,-0.08181818181818179,0.937888198757764,0.9803921568627451,0.04250395810498109,0.75,0.782608695652174,0.03260869565217395
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9801242236024845,0.9883333333333333,0.008209109730848763,0.8476651056175093,0.7152777777777777,-0.13238732783973162,0.7264224849048023,0.7433333333333333,0.016910848428530967,0.9337016574585635,0.987012987012987,0.053311329554423526,0.6428571428571429,0.75,0.1071428571428571,0.9,0.75,-0.15000000000000002,0.937888198757764,0.9933333333333333,0.05544513457556932,0.75,0.75,0.0
6,ESM-2 Random Forest,ESM-2,Random Forest,0,all_test,All test,181,20,161,0.11049723756906077,0.9881987577639751,0.9881987577639751,0.0,0.9220576056509563,0.9220576056509563,0.0,0.7285186322821915,0.7285186322821915,0.0,0.9281767955801105,0.9281767955801105,0.0,0.6129032258064516,0.6129032258064516,0.0,0.95,0.95,0.0,0.9254658385093167,0.9254658385093167,0.0,0.7450980392156863,0.7450980392156863,0.0
6,ESM-2 Random Forest,ESM-2,Random Forest,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9881987577639751,0.9881613022567518,-3.745550722333846e-05,0.9220576056509563,0.9061504338252654,-0.015907171825690902,0.7285186322821915,0.73118182611438,0.002663193832188493,0.9281767955801105,0.9375,0.009323204419889541,0.6129032258064516,0.6153846153846154,0.002481389578163795,0.95,0.9411764705882353,-0.008823529411764675,0.9254658385093167,0.9371069182389937,0.011641079729676984,0.7450980392156863,0.7441860465116279,-0.0009119927040583953
6,ESM-2 Random Forest,ESM-2,Random Forest,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9881987577639751,0.9898989898989898,0.0017002321350146898,0.9220576056509563,0.8786711958960762,-0.04338640975488006,0.7285186322821915,0.7333447204220874,0.004826088139895934,0.9281767955801105,0.9573170731707317,0.02914027759062121,0.6129032258064516,0.625,0.012096774193548376,0.95,0.9090909090909091,-0.040909090909090895,0.9254658385093167,0.9607843137254902,0.035318475216173484,0.7450980392156863,0.7407407407407407,-0.004357298474945592
6,ESM-2 Random Forest,ESM-2,Random Forest,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9881987577639751,0.9883333333333333,0.00013457556935814186,0.9220576056509563,0.7152777777777777,-0.2067798278731786,0.7285186322821915,0.5523398999523438,-0.1761787323298477,0.9281767955801105,0.9675324675324676,0.03935567195235712,0.6129032258064516,0.42857142857142855,-0.18433179723502308,0.95,0.75,-0.19999999999999996,0.9254658385093167,0.9733333333333334,0.04786749482401664,0.7450980392156863,0.5454545454545454,-0.19964349376114088
7,ESM-2 XGBoost,ESM-2,XGBoost,0,all_test,All test,181,20,161,0.11049723756906077,0.9878881987577639,0.9878881987577639,0.0,0.9165844676778183,0.9165844676778183,0.0,0.8179510473202897,0.8179510473202897,0.0,0.9613259668508287,0.9613259668508287,0.0,0.782608695652174,0.782608695652174,0.0,0.9,0.9,0.0,0.968944099378882,0.968944099378882,0.0,0.8372093023255814,0.8372093023255814,0.0
7,ESM-2 XGBoost,ESM-2,XGBoost,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9878881987577639,0.9881613022567518,0.0002731034989879033,0.9165844676778183,0.8991436030551421,-0.017440864622676244,0.8179510473202897,0.8418079692677263,0.023856921947436605,0.9613259668508287,0.9715909090909091,0.010264942240080344,0.782608695652174,0.8333333333333334,0.050724637681159424,0.9,0.8823529411764706,-0.01764705882352946,0.968944099378882,0.9811320754716981,0.012187976092816077,0.8372093023255814,0.8571428571428571,0.019933554817275656
7,ESM-2 XGBoost,ESM-2,XGBoost,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9878881987577639,0.9934640522875817,0.00557585352981782,0.9165844676778183,0.9128968253968255,-0.003687642280992831,0.8179510473202897,0.8606902168936162,0.042739169573326574,0.9613259668508287,0.9817073170731707,0.020381350222342,0.782608695652174,0.8333333333333334,0.050724637681159424,0.9,0.9090909090909091,0.009090909090909038,0.968944099378882,0.9869281045751634,0.017984005196281405,0.8372093023255814,0.8695652173913043,0.032355915065722884
7,ESM-2 XGBoost,ESM-2,XGBoost,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9878881987577639,0.9916666666666667,0.003778467908902794,0.9165844676778183,0.8125,-0.10408446767781832,0.8179510473202897,0.7433333333333333,-0.07461771398695638,0.9613259668508287,0.987012987012987,0.02568702016215829,0.782608695652174,0.75,-0.03260869565217395,0.9,0.75,-0.15000000000000002,0.968944099378882,0.9933333333333333,0.02438923395445125,0.8372093023255814,0.75,-0.08720930232558144
