model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.07,181,20,161,0.11049723756906077,144,17,0,20,37,1.0,0.8944099378881988,0.5405405405405406,0.10342779064931978,0.9360215053763441,0.04354541674092553,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.08,181,20,161,0.11049723756906077,144,17,0,20,37,1.0,0.8944099378881988,0.5405405405405406,0.10233005044439106,0.9260869565217391,0.03314917127071823,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.09,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.10175459899216804,0.9208791208791208,0.022524436889077765,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.1,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.10067526089625536,0.9111111111111111,0.011663597298956399,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.11,181,20,161,0.11049723756906077,145,16,1,19,35,0.95,0.9006211180124224,0.5428571428571428,0.09404680613321745,0.8511235955056179,0.0005586938978210804,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.12,181,20,161,0.11049723756906077,145,16,1,19,35,0.95,0.9006211180124224,0.5428571428571428,0.09291813159216473,0.8409090909090909,-0.010798593671521847,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.13,181,20,161,0.11049723756906077,145,16,1,19,35,0.95,0.9006211180124224,0.5428571428571428,0.09176351050993839,0.8304597701149424,-0.022416968311424423,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.14,181,20,161,0.11049723756906077,145,16,1,19,35,0.95,0.9006211180124224,0.5428571428571428,0.09058203777463703,0.8197674418604651,-0.03430553771039446,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.15,181,20,161,0.11049723756906077,145,16,1,19,35,0.95,0.9006211180124224,0.5428571428571428,0.08937276568085797,0.8088235294117647,-0.04647383815404618,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.16,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08918705603788477,0.8071428571428572,-0.058931860036832456,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.17,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08799840244957731,0.7963855421686746,-0.07169007521799911,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.18,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08678075731033554,0.7853658536585366,-0.08475946637919418,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.19,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08553304685901371,0.7740740740740741,-0.09815155855671509,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.2,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08425414364640883,0.7625,-0.11187845303867405,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.21,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08294286313728233,0.7506329113924051,-0.12595286383663193,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.22,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08159796005099873,0.7384615384615385,-0.1403881569627426,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.23,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.08021812441701945,0.725974025974026,-0.15519839276745356,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.24,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.08229136376853737,0.7447368421052631,-0.17039837161965687,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.25,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.08103130755064457,0.7333333333333334,-0.18600368324125233,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.26,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.0797371957592952,0.7216216216216217,-0.2020307600418098,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.27,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.07840762885037462,0.7095890410958904,-0.21849693483690313,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.28,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.07704112952731737,0.6972222222222222,-0.23542050337630455,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.29,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.07563613726558244,0.6845070422535211,-0.25282079215625247,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.3,181,20,161,0.11049723756906077,148,13,1,19,32,0.95,0.9192546583850931,0.59375,0.07419100236779794,0.6714285714285714,-0.270718232044199,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.31,181,20,161,0.11049723756906077,149,12,1,19,31,0.95,0.9254658385093167,0.6129032258064516,0.07518616382416526,0.6804347826086957,-0.2891344383057091,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.32,181,20,161,0.11049723756906077,149,12,1,19,31,0.95,0.9254658385093167,0.6129032258064516,0.07377315567110822,0.6676470588235294,-0.30809229769255775,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.33,181,20,161,0.11049723756906077,149,12,1,19,31,0.95,0.9254658385093167,0.6129032258064516,0.07231796817019873,0.6544776119402985,-0.3276160633297602,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.34,181,20,161,0.11049723756906077,149,12,1,19,31,0.95,0.9254658385093167,0.6129032258064516,0.07081868407835257,0.6409090909090908,-0.34773145822869594,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.35,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.07224819379515512,0.6538461538461539,-0.36846578835529115,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.36,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.07078729281767956,0.6406250000000001,-0.3898480662983426,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.37,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06928001403139525,0.626984126984127,-0.41190914671577666,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.38,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06772411334877917,0.6129032258064515,-0.4346818748886117,0.0,True,True,True
