classifier,transition,descriptor,descriptor_label,n,mean,sd,median,minimum,maximum,mean_test_set_zscore,median_test_set_zscore,mean_absolute_test_set_zscore
RBF-SVM,stable_correct,boman_index,Boman index,165,1.3409926826502114,1.4248672309254595,1.3418181818181818,-2.016363636363636,5.2188235294117655,0.09853183073046612,0.0990958080800564,0.772886966331842
RBF-SVM,rescue,length,Length,4,16.5,5.196152422706632,14.5,13.0,24.0,-0.02582549046624743,-0.4413289370787624,0.7919817076315894
RBF-SVM,rescue,molecular_weight,Molecular weight,4,1869.3837250000001,625.6391323769872,1639.5729500000002,1414.8203,2783.5687000000003,-0.05269320639637293,-0.4718021838379932,0.8599522730470942
RBF-SVM,rescue,net_charge_pH7_4,Net charge (pH 7.4),4,4.034539855839131,0.9709142351179624,3.5499109713317187,3.5474304968978063,5.490906983795277,1.2467676729827928,1.06760077510971,1.2467676729827928
RBF-SVM,rescue,isoelectric_point,Isoelectric point,4,10.721108436584473,0.8909538321116802,10.477740287780762,9.928985404968262,11.999967765808105,1.1539369496834646,1.058291379144496,1.1539369496834646
RBF-SVM,rescue,mean_eisenberg_hydrophobicity,Mean hydrophobicity,4,0.20588942307692307,0.03336315619174763,0.21177884615384615,0.16,0.2399999999999999,0.6588974954009181,0.6817297126065016,0.6588974954009181
RBF-SVM,rescue,hydrophobic_moment,Hydrophobic moment,4,0.4619684041585342,0.1316625793502423,0.46734507134092806,0.2994180886172191,0.6137653853350615,0.5602375545713649,0.5928642308676271,0.7733124553682869
RBF-SVM,rescue,boman_index,Boman index,4,-0.4105649038461538,0.2675079907393532,-0.5184134615384615,-0.5923076923076924,-0.0131249999999997,-1.0981244999058788,-1.171806153485224,1.0981244999058788
RBF-SVM,regression,length,Length,2,20.0,2.8284271247461903,20.0,18.0,22.0,0.7013055411056539,0.7013055411056539,0.7013055411056539
RBF-SVM,regression,molecular_weight,Molecular weight,2,2225.35255,545.9449128068188,2225.35255,1839.3112,2611.3939,0.5964918905462967,0.5964918905462967,0.7040287621356424
RBF-SVM,regression,net_charge_pH7_4,Net charge (pH 7.4),2,6.041166515229593,6.348015536585568,6.041166515229593,1.552441682232378,10.529891348226808,1.988615889722581,1.988615889722581,1.988615889722581
RBF-SVM,regression,isoelectric_point,Isoelectric point,2,10.501432418823242,0.7052614910063052,10.501432418823242,10.002737236022949,11.000127601623536,1.0676025704486207,1.0676025704486207,1.0676025704486207
RBF-SVM,regression,mean_eisenberg_hydrophobicity,Mean hydrophobicity,2,0.14204545454545453,0.6193612578847623,0.14204545454545453,-0.2959090909090909,0.58,0.4113860944134905,0.4113860944134905,1.6978697535200542
RBF-SVM,regression,hydrophobic_moment,Hydrophobic moment,2,0.4914538296407495,0.2279757790185019,0.4914538296407495,0.330250610350481,0.6526570489310181,0.7391609284814968,0.7391609284814968,0.9782129105780382
RBF-SVM,regression,boman_index,Boman index,2,-0.4065404040404037,2.1112851412609848,-0.4065404040404037,-1.899444444444444,1.0863636363636366,-1.0953749795890337,-1.0953749795890337,1.0953749795890337
RBF-SVM,persistent_error,length,Length,10,16.7,8.219894565422763,13.0,12.0,38.0,0.01572485419500407,-0.7529565220381487,1.1529646743709152
RBF-SVM,persistent_error,molecular_weight,Molecular weight,10,1858.6718300000005,878.2418948549011,1473.9081,1286.648,4088.951700000001,-0.07222863226973326,-0.773927381760151,1.1712396362876711
RBF-SVM,persistent_error,net_charge_pH7_4,Net charge (pH 7.4),10,4.614950972707637,2.0511322612625857,3.5474304968978063,2.5499360895650924,8.534902533561377,1.4613451829594835,1.0666837457625442,1.4613451829594835
RBF-SVM,persistent_error,isoelectric_point,Isoelectric point,10,10.680048522949217,0.4924847681829162,10.477740287780762,10.302063941955566,11.999967765808105,1.137800085080479,1.058291379144496,1.137800085080479
RBF-SVM,persistent_error,mean_eisenberg_hydrophobicity,Mean hydrophobicity,10,0.10671139929303883,0.17634055846981628,0.15544871794871795,-0.3152941176470588,0.2983333333333334,0.2744024181280493,0.4633480977013983,0.604255307344822
RBF-SVM,persistent_error,hydrophobic_moment,Hydrophobic moment,10,0.5713889957939112,0.15208895576095213,0.6033056263938527,0.3000237863788378,0.7461443454495983,1.2242232732937615,1.417899679090563,1.3087181349303423
RBF-SVM,persistent_error,boman_index,Boman index,10,-0.21929596085926026,1.002658753028097,-0.586570512820513,-1.1041666666666667,2.19235294117647,-0.9674504111725346,-1.2183707469207834,1.103485883580617
Random Forest,stable_correct,length,Length,166,16.59036144578313,4.605756989282299,16.0,8.0,30.0,-0.007052744384356647,-0.12970135211937614,0.7768528794816162
Random Forest,stable_correct,molecular_weight,Molecular weight,166,1899.7489439759036,530.7405170081928,1804.9485000000002,972.2277,3484.9750000000004,0.002684248706773731,-0.17020458618685794,0.7865873858929118
Random Forest,stable_correct,net_charge_pH7_4,Net charge (pH 7.4),166,0.3551391978000618,2.5345467909830153,0.2233722239012532,-6.436075477657191,10.529891348226808,-0.11350370787617695,-0.16221784917126095,0.7202749426330914
Random Forest,stable_correct,isoelectric_point,Isoelectric point,166,7.545767588787768,2.4906606686043102,8.140922546386719,4.0500284194946286,11.999967765808105,-0.09399663791251918,0.13990387765806775,0.889064298930785
Random Forest,stable_correct,mean_eisenberg_hydrophobicity,Mean hydrophobicity,166,0.022801583602703877,0.2541059992343199,0.048898550724637654,-0.7041176470588235,0.700909090909091,-0.05090060603898433,0.05027256728417609,0.7755355351020977
Random Forest,stable_correct,hydrophobic_moment,Hydrophobic moment,166,0.35409847626295177,0.15684775122848033,0.3484030606507933,0.0341946997768989,0.7909744075127042,-0.09433843091548821,-0.1288993355143544,0.7705069647577377
Random Forest,stable_correct,boman_index,Boman index,166,1.3401363870361898,1.4123810548320797,1.3406459330143539,-2.016363636363636,5.2188235294117655,0.09794681338629484,0.0982949329258529,0.7682224728503367
Random Forest,rescue,length,Length,2,16.0,0.0,16.0,16.0,16.0,-0.12970135211937614,-0.12970135211937614,0.12970135211937614
Random Forest,rescue,molecular_weight,Molecular weight,2,1656.5363500000003,138.13635026395113,1656.5363500000003,1558.8592000000003,1754.2135000000003,-0.4408658048630158,-0.4408658048630158,0.4408658048630158
Random Forest,rescue,net_charge_pH7_4,Net charge (pH 7.4),2,1.5538926024101498,2.8263041686602652,1.5538926024101498,-0.4446062409453315,3.552391445765631,0.3296744345845024,0.3296744345845024,0.7388433698723735
Random Forest,rescue,isoelectric_point,Isoelectric point,2,8.917824935913085,4.358808191208528,8.917824935913085,5.835682106018066,11.999967765808105,0.4452325439794362,0.4452325439794362,1.2113060435269476
Random Forest,rescue,mean_eisenberg_hydrophobicity,Mean hydrophobicity,2,0.42,0.25455844122715726,0.42,0.2399999999999999,0.6000000000000001,1.488965081727983,1.488965081727983,1.488965081727983
Random Forest,rescue,hydrophobic_moment,Hydrophobic moment,2,0.536096871152509,0.10983986612633286,0.536096871152509,0.4584283569699565,0.6137653853350615,1.0100637042854954,1.0100637042854954,1.0100637042854954
Random Forest,rescue,boman_index,Boman index,2,-0.7425,1.0314920170558768,-0.7425,-1.4718750000000005,-0.0131249999999997,-1.324901077070793,-1.324901077070793,1.324901077070793
Random Forest,regression,length,Length,5,14.8,5.167204273105526,13.0,12.0,24.0,-0.3790034200868852,-0.7529565220381487,0.9919283938191586
Random Forest,regression,molecular_weight,Molecular weight,5,1679.36518,580.8937929493583,1456.9,1343.7424,2707.4326,-0.3992325629165123,-0.8049452807216978,0.9894996475615466
Random Forest,regression,net_charge_pH7_4,Net charge (pH 7.4),5,3.9464232361842178,0.8907889077499153,3.5474304968978063,3.5474304968978063,5.539913718895949,1.2141910315581284,1.0666837457625442,1.2141910315581284
Random Forest,regression,isoelectric_point,Isoelectric point,5,10.619080772399903,0.3620839258835011,10.477740287780762,10.398315238952636,11.263867759704592,1.1138392861245316,1.058291379144496,1.1138392861245316
Random Forest,regression,mean_eisenberg_hydrophobicity,Mean hydrophobicity,5,0.15152564102564103,0.28257687189026043,0.1216666666666667,-0.2384615384615384,0.5558333333333333,0.4481390452607812,0.3323812572405285,0.8736470430925903
Random Forest,regression,hydrophobic_moment,Hydrophobic moment,5,0.5887543368484217,0.19677756663328244,0.7018851503821844,0.3316589742159591,0.7461443454495983,1.329599585819665,2.016099662369959,1.421801886838905
Random Forest,regression,boman_index,Boman index,5,-0.5308076923076923,0.8660265005499729,-0.4908333333333335,-1.620833333333333,0.78,-1.1802738366648764,-1.1529635329109007,1.1802738366648764
Random Forest,persistent_error,length,Length,8,18.625,8.568005268772557,15.5,13.0,38.0,0.41564692155954974,-0.23357721377250487,1.116665512771134
Random Forest,persistent_error,molecular_weight,Molecular weight,8,2064.9911375,901.9073851429506,1700.65265,1394.8306,4088.951700000001,0.3040386423730167,-0.36041031977312993,1.0697251126494054
Random Forest,persistent_error,net_charge_pH7_4,Net charge (pH 7.4),8,4.757144290743506,2.4064798599756116,3.5474304968978063,1.552441682232378,8.534902533561377,1.5139139350607167,1.0666837457625442,1.5139139350607167
