n_estimators,max_depth,min_samples_leaf,fold,train_n,validation_n,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
600,5,3,5,576,144,1280,False,False,0.9793281653746769,0.8714559471976352,0.6766321561663009,0.7027027027027027,0
600,5,5,1,576,144,1280,False,False,0.96533203125,0.747015424049261,0.7506135949703854,0.7692307692307693,0
600,5,5,2,576,144,1280,False,False,0.98388671875,0.9015521956722614,0.6957509801188752,0.7142857142857143,0
600,5,5,3,576,144,1280,False,False,0.9912109375,0.9397736913821473,0.8109307588519342,0.8205128205128205,0
600,5,5,4,576,144,1280,False,False,0.9931640625,0.935877056970807,0.8556534679079243,0.8648648648648649,0
600,5,5,5,576,144,1280,False,False,0.978811369509044,0.8697651259415964,0.6766321561663009,0.7027027027027027,0
600,10,1,1,576,144,1280,False,False,0.966796875,0.767441518337551,0.6247580176717713,0.6666666666666666,0
600,10,1,2,576,144,1280,False,False,0.9814453125,0.8854863596156166,0.730435887238472,0.7567567567567568,0
600,10,1,3,576,144,1280,False,False,0.9921875,0.9514643719806763,0.7762595876177124,0.8,0
600,10,1,4,576,144,1280,False,False,0.99365234375,0.943689556970807,0.8556534679079243,0.8648648648648649,0
600,10,1,5,576,144,1280,False,False,0.9834625322997416,0.9154435848781199,0.7911215487044864,0.8125,0
600,10,3,1,576,144,1280,False,False,0.96533203125,0.7504375766093446,0.7506135949703854,0.7692307692307693,0
600,10,3,2,576,144,1280,False,False,0.98583984375,0.9205388752723311,0.654685760787686,0.6829268292682927,0
600,10,3,3,576,144,1280,False,False,0.994140625,0.9611656983367509,0.8325754129097365,0.8421052631578947,0
600,10,3,4,576,144,1280,False,False,0.99462890625,0.9568840014152514,0.8556534679079243,0.8648648648648649,0
600,10,3,5,576,144,1280,False,False,0.9793281653746769,0.8860667132431839,0.7647165723025928,0.7878787878787878,0
600,10,5,1,576,144,1280,False,False,0.96533203125,0.7437416145254515,0.7506135949703854,0.7692307692307693,0
600,10,5,2,576,144,1280,False,False,0.984375,0.9056730747931405,0.6957509801188752,0.7142857142857143,0
600,10,5,3,576,144,1280,False,False,0.99169921875,0.9427667361877888,0.8109307588519342,0.8205128205128205,0
600,10,5,4,576,144,1280,False,False,0.9931640625,0.935877056970807,0.8556534679079243,0.8648648648648649,0
600,10,5,5,576,144,1280,False,False,0.978811369509044,0.8697651259415965,0.6766321561663009,0.7027027027027027,0
