n_estimators,max_depth,learning_rate,subsample,colsample_bytree,fold,train_n,validation_n,train_active,train_inactive,scale_pos_weight,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
200,5,0.1,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.9736328125,0.7376542652036073,0.6456738625979104,0.6857142857142857,0
200,5,0.1,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.9931640625,0.957720588235294,0.8415524501276135,0.8571428571428571,0
200,5,0.1,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.9912109375,0.9354858682983683,0.859375,0.875,0
200,5,0.1,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.9951171875,0.9643274617539324,0.8685990362153793,0.8823529411764706,0
200,5,0.1,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.9751937984496124,0.8631856759797936,0.7911215487044864,0.8125,0
200,5,0.1,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97119140625,0.7287965375873071,0.688653724024566,0.7222222222222222,0
200,5,0.1,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.98779296875,0.9264405670626021,0.8415524501276135,0.8571428571428571,0
200,5,0.1,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.9931640625,0.9505271995161702,0.7790174143548602,0.8,0
200,5,0.1,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99658203125,0.9777661064425771,0.8415524501276135,0.8571428571428571,0
200,5,0.1,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9808785529715762,0.8707014004514004,0.8198127976897006,0.8387096774193549,0
200,5,0.1,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.9716796875,0.7284586067695336,0.688653724024566,0.7222222222222222,0
200,5,0.1,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98486328125,0.893227997361062,0.8415524501276135,0.8571428571428571,0
200,5,0.1,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99169921875,0.9427459613708185,0.859375,0.875,0
200,5,0.1,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99462890625,0.960681628420599,0.8415524501276135,0.8571428571428571,0
200,5,0.1,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9788113695090439,0.8657544307544307,0.7911215487044864,0.8125,0
500,2,0.03,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97216796875,0.7659033757107823,0.6456738625979104,0.6857142857142857,0
500,2,0.03,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.98876953125,0.9220776398166104,0.8415524501276135,0.8571428571428571,0
500,2,0.03,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.9951171875,0.9677891042780749,0.859375,0.875,0
500,2,0.03,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99658203125,0.977046130952381,0.8164451367301556,0.8333333333333334,0
500,2,0.03,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9803617571059431,0.8706868764449409,0.7911215487044864,0.8125,0
500,2,0.03,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.97314453125,0.7955771293764715,0.6456738625979104,0.6857142857142857,0
500,2,0.03,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98828125,0.920754888493859,0.8415524501276135,0.8571428571428571,0
500,2,0.03,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.994140625,0.9569546262560968,0.859375,0.875,0
500,2,0.03,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8164451367301556,0.8333333333333334,0
500,2,0.03,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.9803617571059432,0.8645188607688608,0.8198127976897006,0.8387096774193549,0
500,2,0.03,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.9677734375,0.7250802508418355,0.6456738625979104,0.6857142857142857,0
500,2,0.03,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.9892578125,0.934347079348981,0.8685990362153793,0.8823529411764706,0
500,2,0.03,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9512728080742787,0.859375,0.875,0
500,2,0.03,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9497914769054475,0.8164451367301556,0.8333333333333334,0
500,2,0.03,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9808785529715762,0.8392899230399231,0.7911215487044864,0.8125,0
500,2,0.03,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.9697265625,0.8037403882190781,0.688653724024566,0.7222222222222222,0
500,2,0.03,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.9873046875,0.9143213914353621,0.8685990362153793,0.8823529411764706,0
500,2,0.03,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99267578125,0.9456506901559651,0.859375,0.875,0
500,2,0.03,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.951604247468218,0.8415524501276135,0.8571428571428571,0
500,2,0.03,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9798449612403101,0.83365860990861,0.7911215487044864,0.8125,0
500,2,0.1,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.974609375,0.7978525120397852,0.730435887238472,0.7567567567567568,0
500,2,0.1,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.99072265625,0.9401716678574263,0.8415524501276135,0.8571428571428571,0
500,2,0.1,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99609375,0.9701551053113553,0.8685990362153793,0.8823529411764706,0
500,2,0.1,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99658203125,0.977046130952381,0.8685990362153793,0.8823529411764706,0
500,2,0.1,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9757105943152454,0.8882291782291781,0.8198127976897006,0.8387096774193549,0
500,2,0.1,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.970703125,0.7742982955976377,0.6013377943029549,0.6470588235294118,0
500,2,0.1,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.9892578125,0.9262642282790309,0.8164451367301556,0.8333333333333334,0
500,2,0.1,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99462890625,0.9578542474682181,0.8978642767029671,0.9090909090909091,0
500,2,0.1,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.9951171875,0.9643274617539324,0.8415524501276135,0.8571428571428571,0
500,2,0.1,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.9726098191214471,0.8683016419972942,0.8198127976897006,0.8387096774193549,0
500,2,0.1,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97021484375,0.7493974410092831,0.6456738625979104,0.6857142857142857,0
500,2,0.1,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.990234375,0.9352621336996336,0.8415524501276135,0.8571428571428571,0
500,2,0.1,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9512728080742787,0.859375,0.875,0
500,2,0.1,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99658203125,0.9777661064425771,0.8164451367301556,0.8333333333333334,0
500,2,0.1,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9746770025839793,0.8229893300015252,0.7911215487044864,0.8125,0
500,2,0.1,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.97265625,0.7975163666098264,0.688653724024566,0.7222222222222222,0
500,2,0.1,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98876953125,0.9331976540616247,0.8685990362153793,0.8823529411764706,0
500,2,0.1,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9497914769054475,0.859375,0.875,0
500,2,0.1,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8685990362153793,0.8823529411764706,0
500,2,0.1,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9808785529715762,0.8427847337847338,0.8198127976897006,0.8387096774193549,0
500,3,0.03,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97216796875,0.7368358706352127,0.6456738625979104,0.6857142857142857,0
500,3,0.03,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.9873046875,0.9144742512389571,0.8415524501276135,0.8571428571428571,0
500,3,0.03,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9546480786370493,0.859375,0.875,0
500,3,0.03,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8415524501276135,0.8571428571428571,0
500,3,0.03,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9777777777777777,0.8552935680876858,0.8198127976897006,0.8387096774193549,0
500,3,0.03,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.97216796875,0.7714699865193286,0.6456738625979104,0.6857142857142857,0
500,3,0.03,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98974609375,0.9401778858618695,0.8415524501276135,0.8571428571428571,0
500,3,0.03,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.9921875,0.9433425815978566,0.859375,0.875,0
500,3,0.03,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99609375,0.9735994397759105,0.8164451367301556,0.8333333333333334,0
500,3,0.03,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.9782945736434108,0.8561848336848337,0.7911215487044864,0.8125,0
500,3,0.03,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.970703125,0.7415425714159982,0.730435887238472,0.7567567567567568,0
500,3,0.03,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.98876953125,0.9265361402880419,0.8685990362153793,0.8823529411764706,0
500,3,0.03,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.9931640625,0.9474833683473389,0.7790174143548602,0.8,0
500,3,0.03,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.9951171875,0.9643274617539324,0.8164451367301556,0.8333333333333334,0
500,3,0.03,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9829457364341085,0.8754897146276457,0.8198127976897006,0.8387096774193549,0
500,3,0.03,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.96875,0.7156287283146552,0.730435887238472,0.7567567567567568,0
500,3,0.03,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.9873046875,0.9124070912325223,0.8685990362153793,0.8823529411764706,0
500,3,0.03,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99072265625,0.9318899495757081,0.7367940902417376,0.7586206896551724,0
500,3,0.03,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8415524501276135,0.8571428571428571,0
500,3,0.03,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9834625322997417,0.8767212417212417,0.7911215487044864,0.8125,0
500,3,0.1,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97509765625,0.794780009829352,0.730435887238472,0.7567567567567568,0
