representation,pca_components,C,gamma,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,fit_warnings,selected
pca_52,52.0,100.0,0.01,0.9707843790374676,0.016744183199969856,0.8655757759269245,0.055428058415274914,0.6244885501854892,0.10245887959420188,0.6186147186147186,0.10849155512483238,5,False
pca_274,274.0,10.0,0.01,0.9684577378068475,0.024787036721756268,0.8532609399401195,0.05278152372414288,0.5828261847482126,0.08648006618700511,0.5541121197642938,0.11668773817962819,5,False
pca_274,274.0,100.0,0.01,0.9684577378068475,0.024787036721756268,0.8532609399401195,0.05278152372414288,0.5828261847482126,0.08648006618700511,0.5541121197642938,0.11668773817962819,5,False
pca_274,274.0,1.0,0.01,0.9672402394218347,0.02246153919202476,0.8465367240182889,0.040806245683516894,0.5703563720232632,0.10733750281379366,0.5503025959547699,0.12311102742524634,5,False
pca_99,99.0,10.0,0.01,0.9671254744024548,0.019711385295508983,0.8477501347752181,0.046609839459928866,0.5934913935149663,0.08252749153130794,0.5679649336171075,0.10898139951775032,5,False
pca_99,99.0,100.0,0.01,0.9671254744024548,0.019711385295508983,0.8477501347752181,0.046609839459928866,0.5934913935149663,0.08252749153130794,0.5679649336171075,0.10898139951775032,5,False
pca_99,99.0,1.0,0.01,0.9669187560562016,0.019028268420989217,0.8500446738359269,0.04089789008427403,0.5909365615038112,0.10906025270932886,0.5768036311514573,0.11729334878944946,5,False
pca_24,24.0,1.0,0.01,0.9668980640342377,0.011035574428487743,0.8515803834872934,0.030629166376565757,0.6751497873218473,0.08248217911177859,0.6860366300366301,0.07926729093449976,5,False
pca_52,52.0,1.0,0.01,0.9667875888242893,0.01203919052860642,0.8463214323173176,0.04287443401699957,0.6033065668542291,0.08566046022080505,0.5967061923583663,0.09387773607701015,5,False
no_pca,,10.0,0.01,0.9660968790374677,0.02532829753639925,0.8427915978527519,0.05693105953290946,0.5711561173378,0.09753474774206866,0.5388740245261985,0.1332121223411016,5,False
no_pca,,100.0,0.01,0.9660968790374677,0.02532829753639925,0.8427915978527519,0.05693105953290946,0.5711561173378,0.09753474774206866,0.5388740245261985,0.1332121223411016,5,False
pca_24,24.0,0.1,0.01,0.9660804768249355,0.012823501152295472,0.7896506361178381,0.04179196877124531,0.22033318186145717,0.04124734607980508,0.11781045751633987,0.004915558482513504,5,False
pca_99,99.0,0.1,0.01,0.9660398498062015,0.018000141572688116,0.8108004052801876,0.05132111118658927,0.0,0.0,0.0,0.0,5,False
no_pca,,1.0,0.01,0.9656777394218347,0.02392616715155522,0.8378025289666923,0.046553544140553724,0.5711561173378,0.09753474774206866,0.5388740245261985,0.1332121223411016,5,False
pca_274,274.0,0.1,0.01,0.9654596152293282,0.02111960253247339,0.8192343187376651,0.044140674300445985,0.0,0.0,0.0,0.0,5,False
pca_52,52.0,0.1,0.01,0.9654425064599483,0.014336845043408682,0.8027362777171559,0.05244827812932846,0.0,0.0,0.0,0.0,5,False
pca_24,24.0,1.0,0.1,0.874224705264858,0.052563298325102654,0.7046852138215611,0.07642514016316473,0.18316514537958936,0.17244790301371507,0.1279738562091503,0.1335449429349613,5,False
pca_24,24.0,10.0,0.1,0.8740293927648579,0.05242866598452785,0.7045737062390456,0.0763191144574262,0.18316514537958936,0.17244790301371507,0.1279738562091503,0.1335449429349613,5,False
pca_24,24.0,100.0,0.1,0.8740293927648579,0.05242866598452785,0.7045737062390456,0.0763191144574262,0.18316514537958936,0.17244790301371507,0.1279738562091503,0.1335449429349613,5,False
pca_52,52.0,1.0,0.1,0.8198350946786176,0.07412638114303775,0.6489508807163568,0.07039198044389343,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,5,False
pca_52,52.0,10.0,0.1,0.8195909540536176,0.07534862477669717,0.6488544184590942,0.07105091996015206,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,5,False
pca_52,52.0,100.0,0.1,0.8195909540536176,0.07534862477669717,0.6488544184590942,0.07105091996015206,0.07667633921951073,0.10967526199191326,0.0457516339869281,0.06269060814787869,5,False
no_pca,,0.1,0.01,0.7767820373062015,0.4187807983606219,0.6660610628100564,0.34057933876423035,0.0,0.0,0.0,0.0,5,False
pca_99,99.0,1.0,0.1,0.6636667776970284,0.3143455514526738,0.5201457873495514,0.2687141966683089,0.0,0.0,0.0,0.0,5,False
pca_99,99.0,10.0,0.1,0.6591197058704781,0.32443905465804784,0.5198511759701845,0.26935941937781993,0.0,0.0,0.0,0.0,5,False
pca_99,99.0,100.0,0.1,0.6591197058704781,0.32443905465804784,0.5198511759701845,0.26935941937781993,0.0,0.0,0.0,0.0,5,False
pca_274,274.0,1.0,0.1,0.5199085765907623,0.3334460067733587,0.39223253331510366,0.30232507039889683,0.0,0.0,0.0,0.0,5,False
pca_274,274.0,10.0,0.1,0.5194202953407623,0.33304426002463705,0.3921222970946312,0.30222535731642874,0.0,0.0,0.0,0.0,5,False
pca_274,274.0,100.0,0.1,0.5194202953407623,0.33304426002463705,0.3921222970946312,0.30222535731642874,0.0,0.0,0.0,0.0,5,False
no_pca,,0.1,0.1,0.26975131722383716,0.04847541193108227,0.09972156696872582,0.03951292770524696,0.0,0.0,0.0,0.0,5,False
pca_274,274.0,0.1,0.1,0.24937820473998706,0.06825321091614053,0.10563912448625182,0.051923299544941195,0.0,0.0,0.0,0.0,5,False
no_pca,,1.0,0.1,0.23601108284883718,0.03707308486185345,0.09705146677362904,0.03836944593544619,0.0,0.0,0.0,0.0,5,False
no_pca,,10.0,0.1,0.23518100472383718,0.036039569083147975,0.09701277136179928,0.03832414205973623,0.0,0.0,0.0,0.0,5,False
no_pca,,100.0,0.1,0.23518100472383718,0.036039569083147975,0.09701277136179928,0.03832414205973623,0.0,0.0,0.0,0.0,5,False
pca_52,52.0,0.1,0.1,0.2063816971495478,0.07369385604861356,0.10591703109699058,0.04386083129923389,0.0,0.0,0.0,0.0,5,False
pca_99,99.0,0.1,0.1,0.20216173590923772,0.07186522111536488,0.10261177905615985,0.052017034938050044,0.0,0.0,0.0,0.0,5,False
pca_24,24.0,0.1,0.1,0.14248556605297158,0.05549923649207173,0.09650134503178853,0.037849833895456333,0.0,0.0,0.0,0.0,5,False
