representation,pca_components,C,gamma,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,fit_warnings,locked_test_rows_used
pca_52,52.0,1.0,scale,1,576,144,576,576.0,52,0.96923828125,0.7538716126709548,0.688653724024566,0.7222222222222222,1,0
pca_52,52.0,1.0,scale,2,576,144,576,576.0,52,0.97900390625,0.8603289072039072,0.7349684152591671,0.7647058823529411,1,0
pca_52,52.0,1.0,scale,3,576,144,576,576.0,52,0.9931640625,0.9564732142857143,0.8198127976897006,0.8387096774193549,1,0
pca_52,52.0,1.0,scale,4,576,144,576,576.0,52,0.9921875,0.9218047668705562,0.9068453126375146,0.9142857142857143,1,0
pca_52,52.0,1.0,scale,5,576,144,576,576.0,52,0.9803617571059432,0.8501404151404152,0.7474763743641388,0.7741935483870968,1,0
pca_52,52.0,1.0,0.001,1,576,144,576,576.0,52,0.9697265625,0.7694966126709548,0.688653724024566,0.7222222222222222,1,0
pca_52,52.0,1.0,0.001,2,576,144,576,576.0,52,0.9794921875,0.8598023504273504,0.6924207557624577,0.7272727272727273,1,0
pca_52,52.0,1.0,0.001,3,576,144,576,576.0,52,0.99365234375,0.9595369397759104,0.8536041880696872,0.8666666666666667,1,0
pca_52,52.0,1.0,0.001,4,576,144,576,576.0,52,0.99169921875,0.9185878551058504,0.9068453126375146,0.9142857142857143,1,0
pca_52,52.0,1.0,0.001,5,576,144,576,576.0,52,0.9824289405684755,0.8725213675213676,0.7474763743641388,0.7741935483870968,1,0
pca_52,52.0,1.0,0.01,1,576,144,576,576.0,52,0.94970703125,0.7849051581588345,0.5895263864273741,0.5833333333333334,1,0
pca_52,52.0,1.0,0.01,2,576,144,576,576.0,52,0.98193359375,0.850771971084471,0.4791863575034157,0.45454545454545453,1,0
pca_52,52.0,1.0,0.01,3,576,144,576,576.0,52,0.9619140625,0.8829585974131766,0.5895263864273741,0.5833333333333334,1,0
pca_52,52.0,1.0,0.01,4,576,144,576,576.0,52,0.9677734375,0.8247666767253481,0.6470396333157187,0.6666666666666666,1,0
pca_52,52.0,1.0,0.01,5,576,144,576,576.0,52,0.972609819121447,0.8882047582047582,0.7112540705972631,0.6956521739130435,1,0
pca_52,52.0,1.0,0.1,1,576,144,576,576.0,52,0.764892578125,0.559330287279231,0.0,0.0,1,0
pca_52,52.0,1.0,0.1,2,576,144,576,576.0,52,0.783203125,0.5920618058681908,0.0,0.0,1,0
pca_52,52.0,1.0,0.1,3,576,144,576,576.0,52,0.86572265625,0.7283038480079409,0.23652495839563303,0.11764705882352941,1,0
pca_52,52.0,1.0,0.1,4,576,144,576,576.0,52,0.927734375,0.6825554608979222,0.1468567377019206,0.1111111111111111,1,0
pca_52,52.0,1.0,0.1,5,576,144,576,576.0,52,0.757622739018088,0.6825030015284991,0.0,0.0,1,0
pca_52,52.0,10.0,scale,1,576,144,576,576.0,52,0.974609375,0.8243165462955517,0.6484375,0.6875,1,0
pca_52,52.0,10.0,scale,2,576,144,576,576.0,52,0.98681640625,0.9004435436088418,0.8017837257372732,0.8235294117647058,1,0
pca_52,52.0,10.0,scale,3,576,144,576,576.0,52,0.98193359375,0.9401041666666667,0.8910068068039617,0.896551724137931,1,0
pca_52,52.0,10.0,scale,4,576,144,576,576.0,52,0.994140625,0.9588484077841662,0.8198127976897006,0.8387096774193549,1,0
pca_52,52.0,10.0,scale,5,576,144,576,576.0,52,0.9229974160206718,0.8311904761904761,0.7767441860465116,0.8,1,0
pca_52,52.0,10.0,0.001,1,576,144,576,576.0,52,0.974609375,0.8231883172261462,0.6484375,0.6875,1,0
pca_52,52.0,10.0,0.001,2,576,144,576,576.0,52,0.98876953125,0.9138214627112653,0.7890625,0.8125,1,0
pca_52,52.0,10.0,0.001,3,576,144,576,576.0,52,0.98046875,0.9415653280542986,0.8910068068039617,0.896551724137931,1,0
pca_52,52.0,10.0,0.001,4,576,144,576,576.0,52,0.994140625,0.9588484077841662,0.7890625,0.8125,1,0
pca_52,52.0,10.0,0.001,5,576,144,576,576.0,52,0.9224806201550387,0.8336607673372379,0.7767441860465116,0.8,1,0
pca_52,52.0,10.0,0.01,1,576,144,576,576.0,52,0.94921875,0.7923642104369658,0.4930584322847129,0.5,1,0
pca_52,52.0,10.0,0.01,2,576,144,576,576.0,52,0.9853515625,0.9018082611832612,0.5897678246195885,0.5454545454545454,1,0
pca_52,52.0,10.0,0.01,3,576,144,576,576.0,52,0.9619140625,0.8829585974131766,0.5895263864273741,0.5833333333333334,1,0
