dimension_index_zero_based,dimension_name,overall_mean,overall_sd,overall_variance,overall_minimum,overall_maximum,overall_range,development_mean,development_sd,constant_overall,near_zero_sd_overall
444,esm2_0445,-0.05759753721800284,0.052003856806055355,0.00270440112270471,-0.22460938,0.10797119,0.33258057,-0.05756155360076162,0.052345847300958495,False,False
445,esm2_0446,0.09022699000435849,0.06394927145550613,0.004089509319690012,-0.22253418,0.23339844,0.45593262,0.0903116762638092,0.06383073901194884,False,False
446,esm2_0447,0.01899690977344238,0.04587202968335688,0.0021042431072707747,-0.12109375,0.20019531,0.32128906,0.01854679485162099,0.04669048012978762,False,False
447,esm2_0448,-0.044772732734150944,0.04425618125886247,0.00195860957961729,-0.18737793,0.19689941,0.38427734,-0.04467244156532817,0.04410229574761087,False,False
448,esm2_0449,-0.05197377474802845,0.059659048257731516,0.003559202039018338,-0.30664062,0.15893555,0.46557617,-0.052852069007025826,0.06012881205222304,False,False
449,esm2_0450,-0.05422781250717637,0.052943712716327536,0.0028030367161890222,-0.2121582,0.16088867,0.37304688,-0.054292869402302636,0.053519979633208675,False,False
450,esm2_0451,-0.04961467080322672,0.053982870786853404,0.0029141503383901105,-0.3671875,0.12298584,0.49017334,-0.04914025002055698,0.053815590987596196,False,False
451,esm2_0452,0.03139002751827769,0.052954625319220336,0.002804192342699011,-0.14355469,0.22570801,0.3692627,0.029618695875008903,0.05387486540141692,False,False
452,esm2_0453,0.019455495010337873,0.049003048358120235,0.0024012987483882703,-0.29101562,0.1538086,0.44482422,0.01973873426516851,0.04968140599375819,False,False
453,esm2_0454,0.1273516343780416,0.07595225075100266,0.005768744394143184,-0.20251465,0.3022461,0.50476074,0.12904863556226095,0.07547600342288112,False,False
454,esm2_0455,0.022770052215499964,0.052768153924238746,0.0027844780685721527,-0.24023438,0.19934082,0.4395752,0.022436886694696213,0.05339546195839908,False,False
455,esm2_0456,0.03229115799185174,0.044012204542661956,0.0019370741487051138,-0.122802734,0.2130127,0.33581543,0.03139056323303117,0.04372067864359545,False,False
456,esm2_0457,0.09667502656231709,0.054974995464989164,0.003022250126375579,-0.08666992,0.25830078,0.3449707,0.09716347919570076,0.05560372678495973,False,False
457,esm2_0458,-0.08095800784002001,0.05760957956912357,0.00331886365813118,-0.3203125,0.086242676,0.40655518,-0.08023185498184628,0.05752499296706643,False,False
458,esm2_0459,-0.033333212434914744,0.03519568536187698,0.0012387362680922412,-0.18371582,0.070617676,0.2543335,-0.03371182241373592,0.03555258039611512,False,False
459,esm2_0460,0.21414646906540477,0.06904281304818749,0.00476691003360697,-0.0041046143,0.48242188,0.4865265,0.2143429438273112,0.0693272674201069,False,False
460,esm2_0461,0.011516144617019297,0.0622246832900777,0.0038719112105504746,-0.21704102,0.21740723,0.43444824,0.011895199120044709,0.06286234989417104,False,False
461,esm2_0462,0.04464648301805164,0.0486677109673716,0.0023685460908036225,-0.18359375,0.1796875,0.36328125,0.044342121481895445,0.04941464282961243,False,False
462,esm2_0463,-0.0854939289151233,0.06598314799750786,0.0043537758196610255,-0.22436523,0.1842041,0.40856934,-0.08633547226587932,0.06613468538003534,False,False
463,esm2_0464,-0.0736582146236026,0.06154291686865605,0.0037875306167023098,-0.31054688,0.0892334,0.39978027,-0.07356661152508524,0.061593314784520486,False,False
464,esm2_0465,0.062012471845755965,0.05698339980427175,0.003247107853253478,-0.13781738,0.22546387,0.36328125,0.06267481711175707,0.057286434935289066,False,False
465,esm2_0466,-0.04079547177144346,0.05100337131944578,0.0026013438859492644,-0.19067383,0.13757324,0.32824707,-0.04169702066315545,0.05071616709920518,False,False
466,esm2_0467,0.011882912504024696,0.09639575248367191,0.009292141096893339,-0.2939453,0.19604492,0.48999023,0.01508833078874482,0.09639366001781079,False,False
467,esm2_0468,0.01997105196763355,0.0770256004277372,0.00593294312125343,-0.21435547,0.25830078,0.47265625,0.020793993439939287,0.0752145763459629,False,False
468,esm2_0469,-0.1713674859651318,0.06184516490566839,0.003824824422209317,-0.34277344,0.05883789,0.40161133,-0.17150816056463453,0.06246753436614297,False,False
469,esm2_0470,0.0637337621652855,0.04172480707248025,0.0017409595252356974,-0.15283203,0.2211914,0.37402344,0.06251099473900265,0.04247011906633,False,False
470,esm2_0471,0.030834519505897717,0.038820809939567005,0.0015070552843639844,-0.14477539,0.1463623,0.2911377,0.03131606611940596,0.03905511341033072,False,False
471,esm2_0472,-0.032858007822132,0.0617433583845924,0.0038122423046082162,-0.1887207,0.2088623,0.397583,-0.034507768270042205,0.06162389073367601,False,False
472,esm2_0473,-0.028563170401290573,0.05458881123265429,0.0029799383117943634,-0.20654297,0.25146484,0.4580078,-0.0274577796459198,0.05430773534832162,False,False
473,esm2_0474,0.0826307406832984,0.047087205738654776,0.002217204944274403,-0.1772461,0.19909668,0.37634277,0.08308737658792072,0.046392512917579794,False,False
474,esm2_0475,0.08671482395252562,0.07104562706885525,0.005047481125606859,-0.12719727,0.2709961,0.39819336,0.08855114380518596,0.07076922387890225,False,False
475,esm2_0476,-0.09919795873559407,0.05238832953460782,0.002744537071426662,-0.30737305,0.09057617,0.39794922,-0.09808886845906575,0.05290087839708259,False,False
476,esm2_0477,-0.08679179293201714,0.04283386244951016,0.0018347397723435565,-0.25439453,0.09655762,0.35095215,-0.0856358763244417,0.04338402273658803,False,False
477,esm2_0478,-0.03843060066379797,0.04718766690914021,0.002226675908327966,-0.17797852,0.108947754,0.28692627,-0.03839082370201747,0.047494057641529745,False,False
478,esm2_0479,0.049556992096324075,0.05160526095024894,0.0026631029577432884,-0.30200195,0.21264648,0.51464844,0.050280438363552095,0.05186049945097687,False,False
479,esm2_0480,-0.032738721727927966,0.04212589594171419,0.001774591108892132,-0.14941406,0.16003418,0.30944824,-0.032163396312130825,0.042209525199547536,False,False
480,esm2_0481,-0.07504181188430956,0.05576126390852107,0.0031093185526757344,-0.32470703,0.1204834,0.44519043,-0.07339280570546786,0.05610968017118516,False,False
481,esm2_0482,-0.0355866161752885,0.06669503065096041,0.00444822711353255,-0.28466797,0.2553711,0.54003906,-0.0354064361916648,0.06662731104484701,False,False
482,esm2_0483,0.04908030623204171,0.037751775835547584,0.0014251965787374344,-0.1161499,0.18225098,0.29840088,0.0481493353843689,0.03692474863210924,False,False
483,esm2_0484,0.07000752406961777,0.08576089245035133,0.007354930673880729,-0.3696289,0.37768555,0.74731445,0.07134081166651514,0.08711654537265733,False,False
484,esm2_0485,0.18244221419525994,0.06409512819533025,0.0041081854583758185,-0.07598877,0.33569336,0.41168213,0.1820919156074524,0.06498054930657418,False,False
485,esm2_0486,0.10692026453727357,0.06379888937874882,0.00407029828596183,-0.10479736,0.26586914,0.3706665,0.10677673154407077,0.06314538908390313,False,False
486,esm2_0487,0.007832166158928061,0.04135747103035241,0.001710440410026439,-0.12402344,0.13256836,0.2565918,0.008764937933948305,0.04148253281671826,False,False
487,esm2_0488,0.034722537496907596,0.04494857795523305,0.0020203746601976627,-0.21887207,0.16992188,0.38879395,0.03403904570473565,0.04537998189006674,False,False
488,esm2_0489,0.05147601245643031,0.05471116432824076,0.002993311502151764,-0.1517334,0.21472168,0.36645508,0.050880071024099985,0.05435097960953826,False,False
489,esm2_0490,0.02920573182428849,0.03791253043134233,0.0014373599637074583,-0.19592285,0.1459961,0.34191895,0.029714243859052657,0.03843221796241231,False,False
490,esm2_0491,-0.025355360417995812,0.04732562419469769,0.0022397147054177557,-0.18603516,0.14672852,0.33276367,-0.02573891638053788,0.04726508063879656,False,False
491,esm2_0492,0.07044174668526941,0.06162016700648648,0.0037970449819072854,-0.16699219,0.26782227,0.43481445,0.07064290543397268,0.06178622515605662,False,False
492,esm2_0493,-0.021596995098609375,0.05051547512315445,0.002551813226918036,-0.17272949,0.14941406,0.32214355,-0.022833295663197837,0.050813079291352106,False,False
493,esm2_0494,0.019893653252545523,0.06177548595833096,0.003816210665387946,-0.17333984,0.1743164,0.34765625,0.022077607611815136,0.060914510405307064,False,False
494,esm2_0495,0.012239819956937192,0.0435244028527658,0.0018943736436898475,-0.16125488,0.16357422,0.3248291,0.012662336809767617,0.042978644388931744,False,False
495,esm2_0496,-0.04128198314057074,0.06270936594608756,0.0039324645773603254,-0.2133789,0.17456055,0.38793945,-0.04045483056041929,0.06313753438317686,False,False
496,esm2_0497,0.030661318595877764,0.05545185236947367,0.0030749079312059023,-0.12005615,0.21936035,0.3394165,0.029080745577812196,0.05375758060066058,False,False
497,esm2_0498,-0.11097292100946593,0.053046505183468894,0.002813931712179792,-0.30859375,0.036499023,0.34509277,-0.11113454368379382,0.05328539520473561,False,False
498,esm2_0499,-0.05957965501537598,0.044752653812732766,0.002002800023282305,-0.2614746,0.11553955,0.37701416,-0.06007415917184618,0.04484918363528421,False,False
499,esm2_0500,0.06300072082536466,0.05153965485854019,0.002656336022937445,-0.114990234,0.25097656,0.3659668,0.062316486570570206,0.052289345671736716,False,False
500,esm2_0501,-0.11363011221509928,0.07381844248647174,0.005449162451128535,-0.30908203,0.14929199,0.45837402,-0.11463248464796279,0.07322518263935747,False,False
501,esm2_0502,0.011955221538141485,0.04509003409006931,0.0020331111742436124,-0.17687988,0.17675781,0.3536377,0.01115476820203993,0.045598651667521,False,False
502,esm2_0503,0.008439465447615308,0.05787892764240604,0.0033499702650348745,-0.20983887,0.15148926,0.36132812,0.008447022901640998,0.057456428512499054,False,False
503,esm2_0504,-0.07791288618771534,0.07211971762670512,0.005201253670555681,-0.39282227,0.1665039,0.5593262,-0.07718223200903998,0.07203513433899333,False,False
504,esm2_0505,0.03805755715523655,0.04765610728688548,0.002271104561739139,-0.1673584,0.22961426,0.39697266,0.03700328427884314,0.04838480222724612,False,False
